Feature ID,Clean Feature Name,Target,Diameter,Center Latitude,Center Longitude,Coordinate System,Feature Type,Feature Type Code,Approval Status,Approval Date,Origin,,,,,
662,Behaim,Moon,56.21,-16.61,79.41,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,"Martin; German navigator, cartographer (1459-1507).",,,,,
664,Beijerinck,Moon,76.77,-13.4,151.84,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,Martinus Willem, Dutch botanist (1851-1931).,,,,
666,Beketov,Moon,8.3,16.23,29.18,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1976,Nikolai Nikolaevich, Russian chemist (1827-1911).,,,,
947,Bela,Moon,10.07,24.67,2.27,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1976,"Hungarian male name, also Slovak female name.",,,,,
684,Belkovich,Moon,215.08,61.53,90.15,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1964,Igor V., Soviet astronomer (1904-1949).,,,,
672,Bell,Moon,86.33,21.98,-96.53,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,Alexander Graham, Scottish-American inventor (1847-1922).,,,,
674,Bellinsgauzen  Bellingshausen,Moon,63.23,-60.72,-164.85,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,Faddei Faddeevich, Russian explorer (1778-1852).,,,,
677,Bellot,Moon,17.5,-12.48,48.19,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Joseph Rene, French explorer (1826-1853).,,,,
679,Belopol skiy,Moon,61.9,-17.25,-128.23,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,Aristarch Apollonovich, Russian astronomer (1854-1934).,,,,
682,Belyaev,Moon,55.9,23.1,143.11,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,Pavel Ivanovich, Soviet cosmonaut (1925-1970).,,,,
686,Bench,Moon,0.18,-3.02,-23.43,"Planetographic, +East, -180 - 180",Landing site name,LF,Approved,1973,"Astronaut-named feature, Apollo 12 site.",,,,,
689,Benedict,Moon,13.83,4.35,141.54,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1976,"Francis Gano; American chemist, physiologist (1870-1957).",,,,,
700,Bergman,Moon,22.51,6.97,137.49,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1976,"Torbern Olof; Swedish chemist, mineralogist, astronomer (1735-1784).",,,,,
701,Bergstrand,Moon,42.98,-18.72,176.44,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,Carl Östen Emanuel, Swedish astronomer (1873-1948).,,,,
702,Berkner,Moon,87.62,25.13,-105.24,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,Lloyd Viel, American geophysicist (1905-1967).,,,,
703,Berlage,Moon,93.75,-63.04,-163.61,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,"Hendrik Petrus; Dutch geophysicist, meteorologist (1896-1968).",,,,,
6792,Bernini,Moon,0,14.9,30,"Planetographic, +East, -180 - 180","Crater, craters",AA,Not Approved,1984,Gianlorenzo, Italian artist (1598-1680).,,,,
