Feature ID,Clean Feature Name,Target,Diameter,Center Latitude,Center Longitude,Coordinate System,Feature Type,Feature Type Code,Approval Status,Approval Date,Origin,,,,,
15265,Auce,Mars,37.01,-27.17,80.14,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,"Oct 12, 2014",Town in Latvia.,,,,,
15367,Auki,Mars,40,-15.76,96.87,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,"Aug 14, 2015",Town in the Solomon Islands.,,,,,
471,Auqakuh Vallis,Mars,347,30.25,60.41,"Planetocentric, +East, 0 - 360","Vallis, valles",VA,Approved,1973,Word for 'Mars' in Quechua (Inca).,,,,,
473,Aureum Chaos,Mars,351.03,-3.89,333.04,"Planetocentric, +East, 0 - 360","Chaos, chaoses",CH,Approved,1976,Classical albedo feature name.,,,,,
475,Aurorae Chaos,Mars,713.92,-8.47,325.19,"Planetocentric, +East, 0 - 360","Chaos, chaoses",CH,Approved,1991,Classical albedo name.,,,,,
476,Aurorae Planum,Mars,564.49,-10.41,311.38,"Planetocentric, +East, 0 - 360","Planum, plana",PM,Approved,1973,Classical albedo feature name.,,,,,
477,Aurorae Sinus,Mars,0,-14.83,310,"Planetocentric, +East, 0 - 360",Albedo Feature,AL,Approved,1958,“,Bay of Rosy Dawn“,, Aurora held back the dawn.,,
479,Ausonia,Mars,0,-39.67,110,"Planetocentric, +East, 0 - 360",Albedo Feature,AL,Approved,1958,Country of the Aruncii (Ausones in Greek).,,,,,
480,Ausonia Cavus,Mars,49.5,-31.92,96.55,"Planetocentric, +East, 0 - 360","Cavus, cavi",CB,Approved,1991,Albedo feature Ausonia.,,,,,
481,Ausonia Mensa,Mars,102.51,-30.02,97.72,"Planetocentric, +East, 0 - 360","Mensa, mensae",MN,Approved,1991,Albedo feature name.,,,,,
482,Ausonia Montes,Mars,333.13,-25.42,99.04,"Planetocentric, +East, 0 - 360","Mons, montes",MO,Approved,1991,Albedo feature name.,,,,,
484,Australe Lingula,Mars,436.33,-84.05,68.56,"Planetocentric, +East, 0 - 360","Lingula, lingulae",LN,Approved,2006,Classical albedo feature name.,,,,,
485,Australe Mensa,Mars,172,-86.88,357.24,"Planetocentric, +East, 0 - 360","Mensa, mensae",MN,Approved,2006,Classical albedo feature name.,,,,,
486,Australe Montes,Mars,411.67,-80.19,14.05,"Planetocentric, +East, 0 - 360","Mons, montes",MO,Approved,2003,Classical albedo feature name.,,,,,
487,Australe Scopuli,Mars,504.58,-83.48,247.06,"Planetocentric, +East, 0 - 360","Scopulus, scopuli",SC,Approved,2006,Classical albedo feature name.,,,,,
488,Australe Sulci,Mars,357.91,-84.99,133.06,"Planetocentric, +East, 0 - 360","Sulcus, sulci",SU,Approved,2006,Classical albedo feature name.,,,,,
